letter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,l2b.started,l2b.stopped,cross_3.started,cross_3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,key_resp_5.rt,age,gender,date,expName,psychopyVersion,frameRate,
5,0,11,11,28,31.96120369998971,32.475289200025145,32.44193090003682,33.94182509998791,space,31.96120369998971,None,1.2065509000094607,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
7,0,12,12,10,33.961112099990714,34.47553420002805,34.442690399999265,None,None,33.961112099990714,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
2,0,13,13,31,35.96139290003339,36.4752152999863,36.442053799983114,37.941745200019795,None,35.96139290003339,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
6,0,14,14,26,37.9618948000134,38.47502210002858,38.441536400001496,39.941614000010304,None,37.9618948000134,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
6,0,15,15,25,39.961470999987796,40.47468929999741,40.44132839998929,41.94145550002577,None,39.961470999987796,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
4,0,16,16,7,41.95801940001547,42.45791450003162,42.44123870000476,43.94141130003845,None,41.95801940001547,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
7,0,17,17,11,43.96098610002082,44.474436399992555,44.441339700017124,45.94108720001532,None,43.96098610002082,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
6,0,18,18,27,45.96007610001834,46.474279700021725,46.44078180001816,47.940666800015606,None,45.96007610001834,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
1,0,19,19,33,47.95989890000783,48.47404609998921,48.440860700036865,49.940754399984144,None,47.95989890000783,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
6,0,20,20,2,49.96058600000106,50.47407669998938,50.440855900000315,51.940715500037186,None,49.96058600000106,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
7,0,21,21,19,51.960256099991966,52.4739384999848,52.44062770000892,53.94056580000324,space,51.960256099991966,None,0.9251803000224754,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
1,0,22,22,23,53.96014300000388,54.47365240001818,54.440554700035136,55.94028249999974,None,53.96014300000388,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
4,0,23,23,15,55.95920979999937,56.47358009999152,56.440197799995076,57.94030539999949,None,55.95920979999937,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
5,0,24,24,32,57.959640500019304,58.47346190002281,58.44003789999988,59.939853199990466,None,57.959640500019304,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
4,0,25,25,13,59.95955179998418,60.473400000017136,60.440616100037005,61.94018400000641,None,59.95955179998418,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
7,0,26,26,3,61.9599458000157,62.47313400002895,62.43972110003233,63.9396332000033,space,61.9599458000157,None,0.5439882000209764,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
5,0,27,27,30,63.95961570000509,64.47298700001556,64.43968350003706,65.93958420003764,None,63.95961570000509,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
5,0,28,28,20,65.95887999999104,66.47298030002275,66.43967320001684,67.93977400002768,space,65.95887999999104,None,0.7835903999512084,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
7,0,29,29,1,67.95601710001938,68.45593779999763,68.43967930000508,69.93914279999444,None,67.95601710001938,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
6,0,30,30,16,69.95868779998273,70.47244330000831,70.43911949999165,71.93969420000212,None,69.95868779998273,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
6,0,31,31,14,71.9583985999925,72.47227920003934,72.43891209998401,73.9391217000084,None,71.9583985999925,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
2,0,32,32,6,73.9555854999926,74.45566969999345,74.43932230002247,75.93903479998698,None,73.9555854999926,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
7,0,33,33,5,75.95872250001412,76.4720903999987,76.43878460000269,77.93867320002755,None,75.95872250001412,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
7,0,34,34,12,77.95787789998576,78.47207950003212,78.43847220001044,79.93860130000394,None,77.95787789998576,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
