key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,back1.thisRepN,back1.thisTrialN,back1.thisN,back1.thisIndex,back1.ran,letter,back2.thisRepN,back2.thisTrialN,back2.thisN,back2.thisIndex,back2.ran,back3.thisRepN,back3.thisTrialN,back3.thisN,back3.thisIndex,back3.ran,back4.thisRepN,back4.thisTrialN,back4.thisN,back4.thisIndex,back4.ran,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
,,,,,,,,,,,,a,1.00149,Correct!,0,106,106,81,1,t1.png,t1.png,0,0.97829,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.23409,Incorrect,0,107,107,49,1,t4.png,t5.png,1,0.9,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.58426,Incorrect,0,108,108,100,1,t4.png,t5.png,1,0.90025,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.10118,Incorrect,0,109,109,77,1,t1.png,t1.png,0,0.97829,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.004475,Correct!,0,110,110,35,1,t1.png,t4.png,3,0.0000131,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.050985,Correct!,0,111,111,45,1,t3.png,t2.png,1,0.90855,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.752615,Incorrect,0,112,112,87,1,t5.png,t1.png,4,9.55E-11,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.687275,Correct!,0,113,113,85,1,t3.png,t2.png,1,0.90855,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.63289,Incorrect,0,114,114,83,1,t3.png,t1.png,2,0.056466,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.70308,Incorrect,0,115,115,86,1,t3.png,t1.png,2,0.056466,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
